,source,target
0,Football,Northern England
1,Football,North American
2,Football,The Football League
3,Football,Richard Thomas
4,Football,United Hospitals Challenge Cup
5,Northern England,Northwest England
6,Northern England,United Kingdom
7,Northern England,Greater London
8,Northern England,Great Britain
9,Northern England,South Wales
10,North American,North America
11,North American,American Civil War
12,North American,Native Americans
13,North American,New York City
14,North American,George Washington
15,The Football League,English Football League
16,The Football League,Premier League
17,The Football League,Football League Second Division
18,The Football League,Football League First Division
19,The Football League,Football League Third Division
20,Richard Thomas,Richard Earl Thomas
21,Richard Thomas,The Waltons
22,Richard Thomas,The Americans
23,Richard Thomas,Columbia University
24,Richard Thomas,American
25,United Hospitals Challenge Cup,United Hospitals RFC
26,United Hospitals Challenge Cup,London
27,United Hospitals Challenge Cup,St George's Hospital
28,United Hospitals Challenge Cup,Guy's Hospital
29,United Hospitals Challenge Cup,Calcutta Cup
